event_date,city,station_id,unique_sessions,avg_energy_kwh,avg_duration_min,total_revenue_eur
2026-02-03,Berlin,station_1,9,22.75875,147.66666666666666,133.44
2026-02-03,Berlin,station_10,7,39.43,56.57142857142857,83.34
2026-02-03,Berlin,station_11,5,39.656,37.4,57.06999999999999
2026-02-03,Berlin,station_12,6,21.205000000000002,51.5,89.82
2026-02-03,Berlin,station_13,5,31.514,56.8,44.45
2026-02-03,Berlin,station_14,3,11.143333333333336,37.333333333333336,34.989999999999995
2026-02-03,Berlin,station_15,6,35.02833333333333,42.833333333333336,103.30000000000001
2026-02-03,Berlin,station_16,5,28.808,52.4,92.9
2026-02-03,Berlin,station_17,8,41.3025,41.375,175.36
2026-02-03,Berlin,station_18,6,23.672,64.66666666666667,81.6
2026-02-03,Berlin,station_19,4,22.8375,50.75,41.03
2026-02-03,Berlin,station_2,3,32.03666666666667,78.66666666666667,59.28
2026-02-03,Berlin,station_20,7,35.41142857142857,54.857142857142854,117.68
2026-02-03,Berlin,station_3,4,40.1275,55.25,60.099999999999994
2026-02-03,Berlin,station_4,5,35.515,46.8,87.38
2026-02-03,Berlin,station_5,6,23.375,34.0,132.75
2026-02-03,Berlin,station_6,3,37.666666666666664,37.333333333333336,51.22
2026-02-03,Berlin,station_7,5,25.536,46.8,81.57
2026-02-03,Berlin,station_8,4,34.0775,37.75,92.2
2026-02-03,Berlin,station_9,4,11.39,32.75,88.32
2026-02-03,Frankfurt,station_1,4,39.56,39.0,48.58
2026-02-03,Frankfurt,station_10,7,36.04714285714285,42.857142857142854,99.53
2026-02-03,Frankfurt,station_11,5,45.0625,35.6,76.17
2026-02-03,Frankfurt,station_12,5,44.298,34.8,82.75
2026-02-03,Frankfurt,station_13,3,29.38,63.666666666666664,25.84
2026-02-03,Frankfurt,station_14,3,29.13,54.0,50.99
2026-02-03,Frankfurt,station_15,5,37.928,25.4,94.34
2026-02-03,Frankfurt,station_16,2,25.134999999999998,58.5,31.18
2026-02-03,Frankfurt,station_17,4,14.2225,68.0,61.38
2026-02-03,Frankfurt,station_18,6,32.94166666666667,53.666666666666664,87.44
2026-02-03,Frankfurt,station_19,2,35.89,66.0,36.44
2026-02-03,Frankfurt,station_2,3,31.486666666666665,68.33333333333333,52.18
2026-02-03,Frankfurt,station_20,7,36.34571428571429,30.571428571428573,118.04
2026-02-03,Frankfurt,station_3,5,42.518,46.2,80.35
2026-02-03,Frankfurt,station_4,7,45.887142857142855,50.714285714285715,77.2
2026-02-03,Frankfurt,station_5,3,31.683333333333337,362.0,42.019999999999996
2026-02-03,Frankfurt,station_6,3,40.58,31.333333333333332,55.31
2026-02-03,Frankfurt,station_7,5,25.792,54.0,62.17
2026-02-03,Frankfurt,station_8,4,36.5125,42.25,49.79
2026-02-03,Frankfurt,station_9,4,37.8375,42.75,107.4
2026-02-03,Hamburg,station_1,4,27.36,61.0,61.49
2026-02-03,Hamburg,station_10,12,37.278333333333336,33.916666666666664,195.09
2026-02-03,Hamburg,station_11,3,51.21,26.333333333333332,25.9
2026-02-03,Hamburg,station_12,1,41.89,38.0,29.94
2026-02-03,Hamburg,station_13,8,30.034285714285716,177.375,121.94
2026-02-03,Hamburg,station_14,5,29.064,52.4,86.88999999999999
2026-02-03,Hamburg,station_15,3,39.39,53.0,26.39
2026-02-03,Hamburg,station_16,3,25.133333333333336,64.0,31.08
2026-02-03,Hamburg,station_17,2,40.11,86.5,18.62
2026-02-03,Hamburg,station_18,6,33.265,49.333333333333336,86.56
2026-02-03,Hamburg,station_19,4,34.7475,44.75,53.54
2026-02-03,Hamburg,station_2,2,6.505,81.5,39.34
2026-02-03,Hamburg,station_20,6,36.39,54.666666666666664,87.55
2026-02-03,Hamburg,station_3,7,30.521428571428572,32.42857142857143,137.94
2026-02-03,Hamburg,station_4,9,36.087777777777774,37.22222222222222,122.47
2026-02-03,Hamburg,station_5,5,47.834,41.2,119.38
2026-02-03,Hamburg,station_6,3,25.923333333333336,38.0,34.980000000000004
2026-02-03,Hamburg,station_7,5,34.674,42.4,46.3
2026-02-03,Hamburg,station_8,6,32.74333333333333,36.0,140.53
2026-02-03,Hamburg,station_9,4,23.6575,54.25,49.790000000000006
2026-02-03,Munich,station_1,2,25.490000000000002,41.0,23.65
2026-02-03,Munich,station_10,5,27.709999999999997,44.8,49.73
2026-02-03,Munich,station_11,5,21.368000000000002,37.6,89.93
2026-02-03,Munich,station_12,4,33.6475,33.75,73.24
2026-02-03,Munich,station_13,7,27.75714285714286,57.42857142857143,133.19
2026-02-03,Munich,station_14,6,34.096,204.5,125.14999999999999
2026-02-03,Munich,station_15,8,41.11,57.125,97.01
2026-02-03,Munich,station_16,7,24.43,47.0,116.99
2026-02-03,Munich,station_17,5,40.468,50.2,84.42
2026-02-03,Munich,station_18,3,33.86333333333334,61.0,62.64
2026-02-03,Munich,station_19,4,34.39,30.25,63.09
2026-02-03,Munich,station_2,13,30.786363636363635,42.38461538461539,164.23
2026-02-03,Munich,station_20,4,26.285,52.5,45.17
2026-02-03,Munich,station_3,5,37.977999999999994,44.6,109.85000000000001
2026-02-03,Munich,station_4,2,14.895,63.0,37.03
2026-02-03,Munich,station_5,4,39.195,29.75,90.66
2026-02-03,Munich,station_6,4,26.060000000000002,47.25,53.03
2026-02-03,Munich,station_7,3,48.23333333333333,56.0,26.57
2026-02-03,Munich,station_8,3,34.63,347.3333333333333,53.22
2026-02-03,Munich,station_9,5,51.625,58.6,100.43
2026-02-04,Berlin,station_11,2,31.96,536.0,50.69
2026-02-04,Berlin,station_12,3,21.06,45.0,47.980000000000004
2026-02-04,Berlin,station_13,2,50.87,12.0,40.769999999999996
2026-02-04,Berlin,station_15,4,37.95333333333333,68.75,97.94
2026-02-04,Berlin,station_16,2,29.34,39.5,33.14
2026-02-04,Berlin,station_17,1,13.9,38.0,4.55
2026-02-04,Berlin,station_19,2,29.474999999999998,50.5,47.68
2026-02-04,Berlin,station_2,1,32.93,8.0,18.76
2026-02-04,Berlin,station_20,5,38.094,38.2,66.41
2026-02-04,Berlin,station_4,4,27.57,45.25,75.32000000000001
2026-02-04,Berlin,station_6,3,33.56666666666667,52.333333333333336,62.15
2026-02-04,Berlin,station_7,1,48.27,30.0,18.43
2026-02-04,Berlin,station_8,2,21.52,31.5,28.38
2026-02-04,Berlin,station_9,3,35.07666666666666,44.333333333333336,31.33
2026-02-04,Frankfurt,station_1,3,25.13,36.0,37.74
2026-02-04,Frankfurt,station_11,1,50.09,62.0,19.25
2026-02-04,Frankfurt,station_12,1,53.6,80.0,25.33
2026-02-04,Frankfurt,station_13,2,17.700000000000003,31.5,49.82
2026-02-04,Frankfurt,station_14,1,5.52,86.0,3.03
2026-02-04,Frankfurt,station_15,2,50.775000000000006,39.5,38.61
2026-02-04,Frankfurt,station_16,1,29.14,36.0,10.87
2026-02-04,Frankfurt,station_17,3,49.89000000000001,53.666666666666664,49.32
2026-02-04,Frankfurt,station_18,3,50.123333333333335,46.0,59.25
2026-02-04,Frankfurt,station_19,2,39.589999999999996,75.0,27.520000000000003
2026-02-04,Frankfurt,station_2,5,31.125999999999998,40.4,76.81
2026-02-04,Frankfurt,station_20,1,54.15,47.0,24.63
2026-02-04,Frankfurt,station_4,2,38.34,33.0,41.19
2026-02-04,Frankfurt,station_5,1,42.17,64.0,5.78
2026-02-04,Frankfurt,station_6,2,21.985,45.5,38.15
2026-02-04,Frankfurt,station_7,3,24.606666666666666,55.333333333333336,39.4
2026-02-04,Frankfurt,station_8,1,51.66,89.0,23.03
2026-02-04,Frankfurt,station_9,1,5.24,28.0,3.73
2026-02-04,Hamburg,station_1,3,38.13333333333333,43.333333333333336,76.67
2026-02-04,Hamburg,station_10,2,39.06,45.5,29.060000000000002
2026-02-04,Hamburg,station_11,2,16.61,22.5,42.82
2026-02-04,Hamburg,station_12,1,46.76,34.0,28.8
2026-02-04,Hamburg,station_13,1,47.54,77.0,21.25
2026-02-04,Hamburg,station_14,1,47.41,35.0,7.75
2026-02-04,Hamburg,station_15,1,46.93,21.0,16.0
2026-02-04,Hamburg,station_16,1,19.95,56.0,24.08
2026-02-04,Hamburg,station_17,2,36.415,56.5,34.51
2026-02-04,Hamburg,station_19,3,31.603333333333335,14.333333333333334,47.19
2026-02-04,Hamburg,station_2,1,53.25,14.0,25.85
2026-02-04,Hamburg,station_20,3,31.580000000000002,45.666666666666664,57.019999999999996
2026-02-04,Hamburg,station_3,2,32.09,78.5,30.25
2026-02-04,Hamburg,station_4,3,52.72666666666667,75.66666666666667,42.36
2026-02-04,Hamburg,station_5,2,31.49,33.0,32.44
2026-02-04,Hamburg,station_6,2,35.019999999999996,26.5,15.54
2026-02-04,Hamburg,station_7,2,18.205,52.5,31.61
